"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
"01-06-2023",yandex,cpc,freemium,103,21654,100,25,1654810
"01-06-2023",yandex,cpc,prof-frontend,78,57138,73,12,1057000
"01-06-2023",yandex,cpc,prof-python,62,33026,61,7,613196
"01-06-2023",yandex,cpc,base-python,31,12524,28,7,476021
"01-06-2023",vk,cpc,prof-python,71,2028,40,5,355564
"01-06-2023",vk,cpc,freemium-frontend,80,3160,43,5,338083
"01-06-2023",yandex,cpc,prof-java,49,29490,49,4,284590
"01-06-2023",yandex,cpc,base-frontend,40,18061,39,3,268515
"01-06-2023",vk,cpc,prof-java,51,3115,23,2,232726
"01-06-2023",yandex,cpc,prof-data-analytics,14,10086,14,2,220264
"01-06-2023",yandex,cpc,prof-professions-brand,13,4818,13,3,154287
"20-06-2023",telegram,cpp,base-java,3,,1,1,151192
"01-06-2023",yandex,cpc,dod-php,4,5964,4,1,150255
"01-06-2023",yandex,cpc,base-professions-retarget,4,151,4,1,134100
"07-06-2023",vk,social,hexlet-blog,3,,1,1,84000
