"visitor_id","utm_source","utm_medium","utm_campaign","lead_id","amount","closing_reason","status_id"
"47bdab8c9fdbb38d178a0b2a6b7c07ef8a2b0e0e",admitad,cpa,admitad,"72973865",134100,Успешная продажа,142
"2baf2f6a216f2fa1774c8a057585fad3a736fa41",admitad,cpa,admitad,"70872672",67050,Успешная продажа,142
db1e9a439b1535422ece9951bd92413ce55da1e9,admitad,cpa,admitad,"21863765",62000,Успешная продажа,142
"28e1f0ada7421898d8bb003fa81d1737e64391a4",admitad,cpa,admitad,"51166889",45410,Успешная продажа,142
c2461e3be27c965c5252e9994f02fe93b094e2be,yandex,cpc,freemium,"52473036",0,Не реализовано,143
"9353552be5d9797a920ed780afa2a3e24969636f",yandex,cpc,prof-frontend,"7609726",0,Не реализовано,143
"644626dc795dad4293ddfe35da18657df6daf785",yandex,cpc,prof-frontend,"66215974",0,Не реализовано,143
fcdea50020d31592c505c6a8a773c931c73a9a53,yandex,cpc,base-python,"38957254",0,Не реализовано,143
cb69eb7a6bb35446165ded4244fc765a28908411,yandex,cpc,base-frontend,"40490557",0,Не реализовано,143
"90d1cbef01f953e55fa6a3ff618411c3ea9bb195",yandex,cpc,prof-frontend,"32824042",0,Не реализовано,143
